achievement_id,user_id,achievement_name,description,achieved_at
1,41,Achievement 1,Description 1,2024-10-01
2,49,Achievement 2,Description 2,2024-10-02
3,19,Achievement 3,Description 3,2024-10-03
4,16,Achievement 4,Description 4,2024-10-04
5,40,Achievement 5,Description 5,2024-10-05
6,21,Achievement 6,Description 6,2024-10-06
7,49,Achievement 7,Description 7,2024-10-07
8,48,Achievement 8,Description 8,2024-10-08
9,9,Achievement 9,Description 9,2024-10-09
10,48,Achievement 10,Description 10,2024-10-10
11,22,Achievement 11,Description 11,2024-10-11
12,3,Achievement 12,Description 12,2024-10-12
13,22,Achievement 13,Description 13,2024-10-13
14,36,Achievement 14,Description 14,2024-10-14
15,1,Achievement 15,Description 15,2024-10-15
16,30,Achievement 16,Description 16,2024-10-16
17,4,Achievement 17,Description 17,2024-10-17
18,48,Achievement 18,Description 18,2024-10-18
19,11,Achievement 19,Description 19,2024-10-19
20,19,Achievement 20,Description 20,2024-10-20
