goal_id,user_id,goal_type,target_value,progress,status,created_at,updated_at
1,1,Duration,532,73,active,2024-10-01,2024-12-31
2,2,Calories,700,20,completed,2024-10-01,2024-12-31
3,3,Distance,993,98,active,2024-10-01,2024-12-31
4,4,Duration,950,71,completed,2024-10-01,2024-12-31
5,5,Calories,205,82,completed,2024-10-01,2024-12-31
6,6,Duration,279,39,completed,2024-10-01,2024-12-31
7,7,Duration,591,81,active,2024-10-01,2024-12-31
8,8,Distance,921,0,active,2024-10-01,2024-12-31
9,9,Calories,339,5,active,2024-10-01,2024-12-31
10,10,Calories,497,21,active,2024-10-01,2024-12-31
11,11,Calories,947,41,completed,2024-10-01,2024-12-31
12,12,Duration,192,77,active,2024-10-01,2024-12-31
13,13,Duration,530,37,active,2024-10-01,2024-12-31
14,14,Calories,656,94,completed,2024-10-01,2024-12-31
15,15,Distance,131,4,completed,2024-10-01,2024-12-31
16,16,Distance,708,11,active,2024-10-01,2024-12-31
17,17,Calories,269,95,completed,2024-10-01,2024-12-31
18,18,Calories,217,64,active,2024-10-01,2024-12-31
19,19,Duration,103,47,completed,2024-10-01,2024-12-31
20,20,Distance,823,84,completed,2024-10-01,2024-12-31
21,21,Duration,561,57,active,2024-10-01,2024-12-31
22,22,Duration,342,83,completed,2024-10-01,2024-12-31
23,23,Duration,224,90,active,2024-10-01,2024-12-31
24,24,Calories,478,55,active,2024-10-01,2024-12-31
25,25,Distance,546,20,completed,2024-10-01,2024-12-31
26,26,Calories,864,98,active,2024-10-01,2024-12-31
27,27,Distance,234,15,active,2024-10-01,2024-12-31
28,28,Distance,964,97,active,2024-10-01,2024-12-31
29,29,Calories,668,69,completed,2024-10-01,2024-12-31
30,30,Duration,578,34,completed,2024-10-01,2024-12-31
31,31,Distance,841,33,active,2024-10-01,2024-12-31
32,32,Calories,733,20,completed,2024-10-01,2024-12-31
33,33,Duration,444,77,active,2024-10-01,2024-12-31
34,34,Calories,472,8,completed,2024-10-01,2024-12-31
35,35,Distance,534,84,completed,2024-10-01,2024-12-31
36,36,Distance,797,63,active,2024-10-01,2024-12-31
37,37,Duration,322,49,active,2024-10-01,2024-12-31
38,38,Calories,934,74,completed,2024-10-01,2024-12-31
39,39,Distance,668,46,active,2024-10-01,2024-12-31
40,40,Distance,398,29,active,2024-10-01,2024-12-31
41,41,Calories,626,31,active,2024-10-01,2024-12-31
42,42,Duration,609,89,active,2024-10-01,2024-12-31
43,43,Distance,458,50,completed,2024-10-01,2024-12-31
44,44,Duration,637,29,completed,2024-10-01,2024-12-31
45,45,Distance,939,77,active,2024-10-01,2024-12-31
46,46,Distance,711,93,completed,2024-10-01,2024-12-31
47,47,Distance,381,61,completed,2024-10-01,2024-12-31
48,48,Duration,126,98,active,2024-10-01,2024-12-31
49,49,Distance,513,43,completed,2024-10-01,2024-12-31
50,50,Distance,385,94,active,2024-10-01,2024-12-31
